name,address,geocode,block group id,preference,job_distance (if needed),job_distance_scaled,final_job_distance*,unemployed but in cvilian labor force (if needed),total in civilian labor force,"Unemployment rate (SOUCE: 2016 Census, by Blcok Group)",Employment Rate (100-Unemployment),final_employment_score,healthcare_distance (if needed),healthcare_distance_scaled,final_healthcare_distance*,# healthcare 1600m radius,S-Curve Score,healthcare,# physicians 1600m radius,S-Curve Score,physician,final_health_score,transit score,transit_weight,public_transit_score,edu_distance,edu_distance_scaled,final_edu_distance*,# elementary,elementary_weight,elementary,# middle,middle_weight,middle,# high,high_weight,high,final_edu_score,"Crime per 100,000","Safety score (100,000-crime)",safety,GINI coeficcient (zip code),reverse GINI,affordability,sound_score,total_units,total_units scaled,total_units reverse,quiet,final_property_score,job_need,health_need,edu_need,public_transport_need,safety_need,affordability_need,quiet_need
Thurmond Heights Apartments,"8426 goldfinch court, austin, tx 78758",48453001805,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,72,888,8.108108108,91.89189189,44.72537053,,,,4,0.96,92.59259259,12,1,100,96.2962963,55,0.333333333,64.28571429,,,,8,0.333333333,63.63636364,6,0.333333333,45.45454545,7,0.333333333,54.54545455,54.54545455,"5,188","94,812",14.14691943,0.43,0.57,84.21052632,73,144,60.86956522,39.13043478,56.06521739,59.18221411,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Santa Rita Courts,"2341 corta st, austin, tx 78702",48453000902,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,52,561,9.26916221,90.73083779,36.81022751,,,,5,0.99,98.14814815,11,1,100,99.07407407,47,0.333333333,35.71428571,,,,8,0.333333333,63.63636364,6,0.333333333,45.45454545,9,0.333333333,72.72727273,60.60606061,"2,289","97,711",82.8436019,0.48,0.52,57.89473684,73,97,35.32608696,64.67391304,68.83695652,63.11142045,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Lakeside Apartments,"85 trinity street, austin, tx 78701",48453001100,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,25,1225,2.040816327,97.95918367,86.08733816,,,,17,1,100,50,1,100,100,65,0.333333333,100,,,,11,0.333333333,90.90909091,11,0.333333333,90.90909091,10,0.333333333,81.81818182,87.87878788,"1,565","98,435",100,0.59,0.41,0,69,163,71.19565217,28.80434783,48.90217391,74.69547142,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Chalmers Courts,"1801 e 4th st, austin, tx 78702",48453000902,4.8453E+11,"elderly, disabled, displacement, mobility",#REF!,#REF!,,3,541,0.554528651,99.44547135,96.2196649,,,,15,1,100,41,1,100,100,45,0.333333333,28.57142857,,,,8,0.333333333,63.63636364,6,0.333333333,45.45454545,9,0.333333333,72.72727273,60.60606061,"1,835","98,165",93.60189573,0.48,0.52,57.89473684,71,157,67.93478261,32.06521739,51.5326087,69.77519934,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Salina Courts,"1143 salina st, austin, tx 78702",48453000804,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,53,677,7.828655835,92.17134417,46.63045377,,,,5,0.99,98.14814815,15,1,100,99.07407407,47,0.333333333,35.71428571,,,,9,0.333333333,72.72727273,8.5,0.333333333,68.18181818,9,0.333333333,72.72727273,71.21212121,"1,826","98,174",93.81516588,0.48,0.52,57.89473684,75,32,0,100,87.5,70.26297678,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Rosewood Courts,"2001 rosewood ave, austin, tx 78702",48453000804,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,60,644,9.316770186,90.68322981,36.48567421,,,,3,0.91,83.33333333,11,1,100,91.66666667,48,0.333333333,39.28571429,,,,9,0.333333333,72.72727273,8.5,0.333333333,68.18181818,9,0.333333333,72.72727273,71.21212121,"1,826","98,174",93.81516588,0.48,0.52,57.89473684,72,156,67.39130435,32.60869565,52.30434783,63.23777527,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Northgate Apartments,"9120 northgate blvd, austin, tx 78758",48453001820,4.8453E+11,"disabled, displacement",#REF!,#REF!,,48,1325,3.622641509,96.37735849,75.30371272,,,,10,1,100,39,1,100,100,47,0.333333333,35.71428571,,,,8,0.333333333,63.63636364,6,0.333333333,45.45454545,7,0.333333333,54.54545455,54.54545455,"5,188","94,812",14.14691943,0.43,0.57,84.21052632,70,50,9.782608696,90.2173913,80.10869565,63.4327992,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Georgian Manor,"110 bolles circle, austin, tx 78753",48453001806,4.8453E+11,"disabled, displacement",#REF!,#REF!,,0,169,0,100,100,,,,3,0.91,83.33333333,11,1,100,91.66666667,52,0.333333333,53.57142857,,,,7,0.333333333,54.54545455,6,0.333333333,45.45454545,7,0.333333333,54.54545455,51.51515152,"5,785","94,215",0,0.41,0.59,94.73684211,69,94,33.69565217,66.30434783,67.65217391,65.59175182,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Gaston Place,"1941 gaston place drive, austin, tx 78723",48453002106,4.8453E+11,"elderly, disabled, displacement",#REF!,#REF!,,32,471,6.794055202,93.2059448,53.68353766,,,,5,0.99,98.14814815,12,1,100,99.07407407,41,0.333333333,14.28571429,,,,7,0.333333333,54.54545455,0,0.333333333,0,6,0.333333333,45.45454545,33.33333333,"3,391","96,609",56.72985782,0.46,0.54,68.42105263,75,100,36.95652174,63.04347826,69.02173913,56.36418699,0.5,0.5,0.5,0.5,0.5,0.5,0.5
North Loop Apartments,"2300 North Loop Boulevard, austin, tx 78756",48453000206,4.8453E+11,"near elderly, disabled, displacement",#REF!,#REF!,,20,903,2.214839424,97.78516058,84.90098715,,,,39,1,100,50,1,100,100,44,0.333333333,25,,,,11,0.333333333,90.90909091,10,0.333333333,81.81818182,11,0.333333333,90.90909091,87.87878788,"1,565","98,435",100,0.43,0.57,84.21052632,74,130,53.26086957,46.73913043,60.36956522,77.47998094,0.5,0.5,0.5,0.5,0.5,0.5,0.5
